long_threshold,short_threshold,min_confidence,min_position,trades,coverage,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,hit_rate,benchmark_symbol,benchmark_cumulative_return,excess_return,alpha,beta,information_ratio,objective_score
0.2,0.2,0.5,20.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.2,0.2,0.5,30.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.2,0.2,0.6,20.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.2,0.2,0.6,30.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.2,0.25,0.5,20.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.2,0.25,0.5,30.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.2,0.25,0.6,20.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.2,0.25,0.6,30.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.25,0.2,0.5,20.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.25,0.2,0.5,30.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.25,0.2,0.6,20.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.25,0.2,0.6,30.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.25,0.25,0.5,20.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.25,0.25,0.5,30.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.25,0.25,0.6,20.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
0.25,0.25,0.6,30.0,0,0.0,0.0,0.0,0.0,-9.296285203407621e+16,0.0,0.0,sh000300,0.032168077338428525,-0.032168077338428525,-0.02,0.0,-0.7262998222646756,-4.6481426017038104e+16
